epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,102.674,1.04224,2.26235,1.00426,1.16698,0,0.74247,0.8823,0.89785,0.64456,0.88218,0.82597,0.93886,0.59064,1.15219,1.90803,0.99343,1.13437,0,0.000905557,0.000905557,0.000905557
39,105.212,0.98931,2.11382,0.97235,1.13935,0,0.86027,0.86137,0.92762,0.65532,0.83631,0.81778,0.87199,0.53897,1.07214,1.91497,1.07168,1.05975,0,0.00089141,0.00089141,0.00089141
40,107.666,1.00856,2.16048,0.982,1.15059,0,0.72283,0.84952,0.86318,0.59988,0.72283,0.84952,0.84463,0.50511,1.20465,2.1359,1.27894,1.1569,0,0.000877263,0.000877263,0.000877263
41,110.271,0.98708,2.1214,1.00632,1.15069,0,0.89262,0.84167,0.93296,0.62433,0.98456,0.71649,0.88493,0.53958,1.20808,1.96693,1.04464,1.1425,0,0.000863116,0.000863116,0.000863116
42,113.013,1.04004,2.16968,0.9765,1.16559,0,0.94936,0.81944,0.96662,0.60419,0.91438,0.73397,0.88394,0.50613,1.30381,2.15032,1.07715,1.1637,0,0.000848969,0.000848969,0.000848969
43,115.482,0.98224,2.03981,0.92549,1.13574,0,0.88529,0.96093,0.96969,0.65168,0.8141,0.87566,0.8958,0.52296,1.24221,2.10788,1.11219,1.1311,0,0.000834822,0.000834822,0.000834822
44,117.961,0.98804,2.21446,0.97525,1.15232,0,0.95215,0.87611,0.97258,0.67338,0.92739,0.85454,0.9386,0.57976,1.11716,1.91827,0.94932,1.06633,0,0.000820675,0.000820675,0.000820675
45,120.594,1.00397,2.12799,0.9188,1.13065,0,0.90592,0.91043,0.97165,0.65431,0.89333,0.89675,0.94026,0.5683,1.15442,1.986,0.92179,1.09618,0,0.000806528,0.000806528,0.000806528
46,123.563,0.97274,2.07259,0.90666,1.12995,0,0.95533,0.86349,0.96569,0.64826,0.87147,0.77739,0.86409,0.52316,1.12526,2.04074,0.91526,1.05143,0,0.00079238,0.00079238,0.00079238
47,126.128,0.98333,2.04412,0.91773,1.12206,0,0.8998,0.86944,0.94138,0.64297,0.85918,0.80152,0.85151,0.50132,1.13741,2.09862,0.906,1.04974,0,0.000778233,0.000778233,0.000778233
48,129.127,0.928,2.03077,0.86956,1.124,0,0.86226,0.87985,0.93309,0.61609,0.82564,0.79032,0.85337,0.49408,1.18276,2.04504,0.92904,1.07556,0,0.000764086,0.000764086,0.000764086
49,131.844,0.95449,2.08599,0.89702,1.11945,0,0.85575,0.90283,0.94067,0.62904,0.86495,0.78369,0.85846,0.51012,1.17496,2.13569,0.94971,1.06719,0,0.000749939,0.000749939,0.000749939
50,134.694,0.92646,1.96957,0.87081,1.11244,0,0.95355,0.87104,0.9607,0.64136,0.91242,0.82893,0.89587,0.56449,1.12229,2.09282,1.01674,1.07829,0,0.000735792,0.000735792,0.000735792
51,136.921,0.94655,2.19451,0.87752,1.13159,0,0.89477,0.84167,0.95564,0.64862,0.91495,0.81047,0.89685,0.55608,1.11812,1.97986,1.03647,1.04503,0,0.000721645,0.000721645,0.000721645
52,138.968,0.94557,2.11128,0.89347,1.14182,0,0.88269,0.8971,0.93746,0.62166,0.84674,0.86349,0.88348,0.56062,1.13623,2.0207,1.07334,1.03782,0,0.000707498,0.000707498,0.000707498
53,141.923,0.91345,2.09801,0.90259,1.11737,0,0.92123,0.90419,0.95676,0.66233,0.9065,0.89051,0.91916,0.54855,1.03877,2.01854,0.94499,1.00393,0,0.000693351,0.000693351,0.000693351
54,144.168,0.92667,1.98025,0.83325,1.10409,0,0.92861,0.98611,0.98944,0.68984,0.85735,0.91944,0.9158,0.56011,1.04022,2.03971,0.85767,0.99579,0,0.000679204,0.000679204,0.000679204
55,146.305,0.89916,2.08277,0.82933,1.11725,0,0.89171,0.92778,0.97613,0.66598,0.88668,0.85393,0.90706,0.54336,1.05265,2.0694,0.89117,1.02288,0,0.000665057,0.000665057,0.000665057
56,148.427,0.89664,1.9827,0.82987,1.10461,0,0.94471,0.88211,0.92853,0.6617,0.94471,0.88211,0.90393,0.55047,1.06611,1.9145,0.9064,1.02294,0,0.000650909,0.000650909,0.000650909
57,150.584,0.90756,2.05227,0.86092,1.10805,0,0.91621,0.8726,0.9317,0.66097,0.91621,0.8726,0.90727,0.59051,1.07663,1.83353,0.94094,1.03628,0,0.000636762,0.000636762,0.000636762
58,152.784,0.93816,1.946,0.8527,1.10412,0,0.95758,0.8643,0.93861,0.65667,0.92842,0.83176,0.87568,0.53026,1.08736,1.9325,0.9722,1.04405,0,0.000622615,0.000622615,0.000622615
59,154.998,0.90584,2.04502,0.81276,1.10341,0,0.94856,0.87674,0.95044,0.6637,0.91236,0.84218,0.86908,0.52998,1.03476,1.95127,0.92122,1.01032,0,0.000608468,0.000608468,0.000608468
60,157.273,0.94686,2.0211,0.85919,1.11522,0,0.95167,0.83056,0.91661,0.66738,0.95167,0.83056,0.89629,0.56428,1.01265,1.78737,0.98822,1.00155,0,0.000594321,0.000594321,0.000594321
61,159.41,0.89409,1.95791,0.79659,1.09477,0,0.9708,0.84336,0.93728,0.66624,0.9708,0.84336,0.89234,0.59374,1.04124,1.69994,1.06669,1.01062,0,0.000580174,0.000580174,0.000580174
62,161.499,0.92938,2.03545,0.85587,1.12242,0,0.9433,0.86226,0.93545,0.65279,0.9433,0.86226,0.92407,0.56586,1.08476,1.8561,0.99894,1.0215,0,0.000566027,0.000566027,0.000566027
63,163.531,0.90279,1.95853,0.81974,1.10149,0,0.96981,0.8441,0.93315,0.65887,0.96981,0.8441,0.90864,0.55396,1.05764,1.89233,0.98103,1.0156,0,0.00055188,0.00055188,0.00055188
64,165.581,0.9035,1.89963,0.81888,1.1002,0,0.95025,0.89938,0.93892,0.67147,0.93191,0.86594,0.88295,0.55389,1.00581,1.88856,0.92519,0.97928,0,0.000537733,0.000537733,0.000537733
65,167.724,0.85901,1.84951,0.77793,1.08737,0,0.94864,0.94167,0.96862,0.70029,0.87737,0.875,0.90175,0.55996,1.02716,1.89797,0.84663,0.99087,0,0.000523586,0.000523586,0.000523586
66,169.801,0.86312,1.83609,0.76039,1.06563,0,0.93565,0.94202,0.98708,0.67811,0.89251,0.89773,0.94888,0.58551,1.08054,1.85725,0.81962,1.0319,0,0.000509438,0.000509438,0.000509438
67,171.912,0.86227,1.91678,0.76993,1.07123,0,0.93824,0.93815,0.97162,0.69259,0.86821,0.8685,0.91777,0.58872,1.01491,1.80032,0.76651,0.98206,0,0.000495291,0.000495291,0.000495291
68,173.953,0.86718,1.82368,0.74772,1.0704,0,0.95778,0.85386,0.92268,0.67352,0.95778,0.85386,0.90098,0.57393,1.01868,1.80378,0.79659,0.98995,0,0.000481144,0.000481144,0.000481144
69,176.017,0.86456,1.89517,0.77555,1.06914,0,0.96192,0.86194,0.88936,0.66576,0.96192,0.86194,0.87793,0.54549,0.99509,2.00984,0.85332,0.98877,0,0.000466997,0.000466997,0.000466997
70,178.077,0.86195,1.81457,0.79006,1.05952,0,0.96683,0.85278,0.90841,0.67869,0.96683,0.85278,0.88432,0.53757,0.97705,2.03413,0.91536,0.97721,0,0.00045285,0.00045285,0.00045285
71,180.141,0.8455,1.88517,0.7638,1.0682,0,0.97267,0.86762,0.94214,0.67458,0.95922,0.85373,0.89554,0.53833,1.0397,2.00504,0.9519,0.99979,0,0.000438703,0.000438703,0.000438703
72,182.331,0.88976,1.86032,0.77638,1.06873,0,0.86469,0.93333,0.93903,0.66644,0.8871,0.83602,0.90033,0.57344,1.03964,1.80018,0.95349,0.99522,0,0.000424556,0.000424556,0.000424556
73,184.412,0.85034,1.8335,0.77286,1.08274,0,0.90072,0.92293,0.94909,0.67157,0.94346,0.88152,0.92854,0.58448,1.01757,1.75904,0.91418,0.975,0,0.000410409,0.000410409,0.000410409
74,186.541,0.84955,1.91199,0.7573,1.08909,0,0.8992,0.87568,0.94085,0.67077,0.86249,0.83966,0.8824,0.53949,1.02108,1.94874,0.8483,1.00058,0,0.000396262,0.000396262,0.000396262
75,188.663,0.87989,1.83764,0.77243,1.08251,0,0.88162,0.8931,0.93275,0.66761,0.83252,0.84518,0.8659,0.53108,1.06027,1.96035,0.84005,1.01945,0,0.000382115,0.000382115,0.000382115
