timestamp,e_lat_px,e_psi_deg,kappa,steer,throttle
1786089442.3667119,-4.50040159625,26.399243044393597,0.000356872754414,0.619414130681199,0.25
1786089442.4536715,3.30268588264,35.242300442360204,0.00141861957959,0.8858242392043596,0.25
1786089442.5446117,3.4405194033,35.5662313252909,0.00168278797254,0.9657472717613078,0.25
1786089442.6329033,-4.28432573788,34.84960912747073,0.00201115333642,0.9897241815283924,0.25
1786089442.7246804,-5.63970919308,32.379025372931494,0.00152845102869,0.9969172544585176,0.25
1786089442.8162782,1.49245480074,37.597462561542585,0.00240076615931,0.9990751763375552,0.25
1786089442.9020042,18.1223649171,45.81042414167217,0.00369667111523,0.9997225529012665,0.25
1786089442.9885695,3.27281796438,38.862827111584366,0.00299050252167,0.9999167658703799,0.25
1786089443.0755785,10.4352934241,42.351221684409126,0.00341208926087,0.9999750297611139,0.25
1786089443.1632383,1.61933066065,36.63961707417927,0.00268240527474,0.9999925089283341,0.25
1786089443.2539895,1.73555288369,36.44240207838995,0.00248032504756,0.9999977526785002,0.25
1786089443.3453438,9.9525679924,36.808902175921126,0.00228534512438,0.99999932580355,0.25
1786089443.4400327,27.1876580183,44.71780271530895,0.00322937624504,0.999999797741065,0.25
1786089443.5295074,16.9652280028,41.12929777419235,0.00265219631208,0.9999999393223195,0.25
1786089443.6158583,7.48064176216,33.07326726163053,0.00175115170312,0.9999999817966958,0.25
1786089443.7057824,0.585031728802,26.58256416256331,0.000921826301156,0.9603888205840809,0.25
1786089443.8055747,12.2928592359,30.970371339542194,0.00151686796785,0.9881166461752242,0.25
1786089443.8904097,22.5726450113,38.8133425806053,0.00219793531176,0.9964349938525672,0.25
1786089443.9795666,26.9254798488,39.513870368043165,0.00234395657296,0.9989304981557701,0.25
1786089444.075916,42.9508001869,46.59551334026068,0.00314068865348,0.999679149446731,0.25
1786089444.1572363,67.4991196916,55.58317911708159,0.00490815079327,0.9999037448340192,0.25
1786089444.2384157,56.9721808957,53.79949171233919,0.00452511389937,0.9999711234502058,0.25
1786089444.3176622,46.9280697536,48.20178339352902,0.00342251040514,0.9999913370350617,0.25
1786089444.399564,59.4587206637,49.95097461082279,0.00357626415652,0.9999974011105184,0.25
1786089444.4909396,48.9887092127,39.183781235649924,0.00209235565031,0.9999992203331555,0.25
1786089444.5698156,56.7051548282,36.47955913864731,0.00163063605609,0.9999997660999466,0.25
1786089444.6580644,53.0205333235,37.345258597874036,0.00180587299052,0.999999929829984,0.25
1786089444.7452807,41.2227247256,25.79667361589189,0.000878878058192,0.9890885168741768,0.25
1786089444.8309643,45.8728481922,26.764120832284913,0.000966231742559,0.996726555062253,0.25
1786089444.9223328,36.3829870555,21.1983536427038,0.000579064534316,0.8621770434746892,0.25
1786089445.005298,25.8719715068,8.770494792388456,-0.000351980363939,0.4793644357337567,0.25
1786089445.0872638,26.0661762537,5.65081536989008,-0.000597694775068,0.2814522848152309,0.25
1786089445.1807961,27.2429065035,8.330083291187796,-0.000424073147696,0.29343560865478324,0.25
1786089445.266118,20.1105000733,-2.9232783088499583,-0.00111428410491,-0.0036344361038857798,0.25
1786089445.3503327,27.0867222734,5.043290020539228,-0.000550344240505,0.12562927457370415,0.25
1786089445.441754,25.1155324476,9.01297630550228,-0.000307894898219,0.2650341330022345,0.25
1786089445.5257576,24.5186303462,6.17899652199167,-0.000524456887288,0.23074852855173916,0.25
1786089445.624511,30.5333311504,12.128893084110421,-0.000131943282772,0.38331625958713467,0.25
1786089445.709019,22.6825767591,9.744192348460002,-0.000188030631648,0.36160349702342687,0.25
1786089445.8060262,21.5742227441,8.173166079055546,-0.000264883126015,0.313811692689936,0.25
1786089445.890091,27.1881802547,16.766877870091772,0.000369915534008,0.533901820467958,0.25
1786089445.9787445,17.1146781926,8.015390068839814,-0.000175757459741,0.3602682874319374,0.25
1786089446.0625722,12.7803290848,7.966930123643375,-0.000111124637761,0.3045982953294586,0.25
1786089446.1516674,4.69210089466,4.315883066279337,-0.000257831553299,0.1866989800011222,0.25
1786089446.2369132,9.53881794795,8.303322076583257,2.38035424521e-05,0.26224914359901413,0.25
1786089446.3247185,13.8843138718,11.757528275818954,0.000370782799344,0.38558362292707793,0.25
1786089446.4142087,20.2141061713,15.59784571887643,0.000539789778082,0.5270343484762305,0.25
1786089446.4985147,25.5607488922,25.86918523212223,0.0018878698258,0.8581103045428691,0.25
1786089446.580972,42.172326546,39.37594007902365,0.00361463675416,0.9574330913628606,0.25
1786089446.666529,38.9257543489,39.95905780604677,0.0038940853002,0.9872299274088581,0.25
1786089446.7532687,45.0230365952,41.64826423019364,0.00410590693673,0.9961689782226574,0.25
1786089446.8381553,41.9443192805,36.42078725526395,0.00328640292352,0.9988506934667971,0.25
1786089446.9220774,42.2383374809,34.91398156679688,0.00288820790175,0.9996552080400392,0.25
1786089447.009402,40.6603150269,37.50548017211671,0.00322720031372,0.9998965624120117,0.25
1786089447.0886884,28.1170351468,30.05679301621051,0.00222049860253,0.9999689687236035,0.25
1786089447.1695213,17.9469823506,21.405881420523368,0.00123981571007,0.8740659581179858,0.25
1786089447.2516122,20.1615300166,20.54713971721962,0.00116913289516,0.8159021491985475,0.25
1786089447.3330462,17.2453547904,12.642274625916839,0.000590128942936,0.5857484103626844,0.25
1786089447.4226542,13.1559918516,11.59017855957183,0.00039582478673,0.4789235369352438,0.25
1786089447.505475,6.93125414049,-0.9376865741277327,-0.000702117291795,0.1001052423889803,0.25
1786089447.5939958,8.17791099858,-1.3578370538731168,-0.000757512814564,-0.024212409966606913,0.25
1786089447.6710906,1.723690638,-6.444668738480428,-0.00108021436924,-0.2017594591220649,0.25
1786089447.7492058,-4.05017798033,-14.433658469681289,-0.00168570163756,-0.4742323220393462,0.25
1786089447.8399584,-2.94855944098,-10.964656839641973,-0.00134667474485,-0.4592356867824051,0.25
1786089447.9179673,-4.17023089686,-5.288709970162793,-0.00082706076105,-0.3015656879511014,0.25
1786089447.9981155,-0.341155218236,3.4609624959067746,0.000103057112524,-0.005715541883078434,0.25
1786089448.073365,3.80752374563,3.9901087047386694,0.000151964997899,0.10247025214648892,0.25
1786089448.1488678,11.7823245489,13.643628077429836,0.00107785183918,0.4093616370364012,0.25
1786089448.2245722,41.9228346101,33.637711246201945,0.00284491752514,0.8228084911109204,0.25
1786089448.2999854,42.7551441863,34.02544268552317,0.00294518524559,0.946842547333276,0.25
1786089448.3802292,42.2521866723,31.30091924180161,0.00256834801714,0.9840527641999828,0.25
1786089448.4665873,43.655931144,33.94467968303795,0.00307072418889,0.9952158292599949,0.25
1786089448.542778,43.7702407127,31.197683593666675,0.00277164040317,0.9985647487779984,0.25
1786089448.619914,46.554909021,33.13383848377562,0.00301427679487,0.9995694246333995,0.25
1786089448.7005847,42.373977982,31.909690944970066,0.00282390754459,0.9998708273900199,0.25
1786089448.7779255,57.011983615,36.80764127619642,0.00302107877169,0.9999612482170059,0.25
1786089448.854731,51.3969694834,36.5803119680666,0.00302860146737,0.9999883744651017,0.25
