timestamp,state,steer,speed,front_dist,offset,event
1784264302.942,KEEP_LANE,-0.195,0.22,3.44,0.0,
1784264303.012,KEEP_LANE,-0.078,0.22,6.49,0.0,
1784264303.076,KEEP_LANE,1.000,0.22,6.49,0.0,
1784264303.143,KEEP_LANE,-1.000,0.22,6.54,0.0,
1784264303.212,KEEP_LANE,1.000,0.22,6.58,0.0,
1784264303.278,KEEP_LANE,-1.000,0.22,6.58,0.0,
1784264303.341,KEEP_LANE,-0.304,0.22,4.76,0.0,
1784264303.408,KEEP_LANE,-0.331,0.22,4.76,0.0,
1784264303.474,KEEP_LANE,-0.419,0.22,6.46,0.0,
1784264303.538,KEEP_LANE,-0.410,0.22,6.46,0.0,
1784264303.609,KEEP_LANE,-0.372,0.22,4.71,0.0,
1784264303.675,KEEP_LANE,-0.450,0.22,4.71,0.0,
1784264303.742,KEEP_LANE,-0.420,0.22,6.40,0.0,
1784264303.789,KEEP_LANE,0.000,0.00,0.00,0.0,LANE_LOST
1784264306.114,RECOVERING,0.000,0.00,0.00,0.0,LANE_FOUND
1784264306.188,KEEP_LANE,-1.000,0.22,6.07,0.0,
1784264306.260,KEEP_LANE,-0.506,0.22,5.20,0.0,
1784264306.325,KEEP_LANE,-0.404,0.22,5.20,0.0,
1784264306.388,KEEP_LANE,0.046,0.22,4.55,0.0,
1784264306.454,KEEP_LANE,-0.330,0.22,4.55,0.0,
1784264306.523,KEEP_LANE,0.139,0.22,5.16,0.0,
1784264306.586,KEEP_LANE,-0.272,0.22,5.16,0.0,
1784264306.653,KEEP_LANE,-0.347,0.22,4.50,0.0,
1784264306.720,KEEP_LANE,-0.314,0.22,4.50,0.0,
1784264306.784,KEEP_LANE,-0.270,0.22,5.40,0.0,
1784264306.846,KEEP_LANE,-0.270,0.22,5.40,0.0,
1784264306.916,KEEP_LANE,-0.270,0.22,5.10,0.0,
1784264306.979,KEEP_LANE,-0.270,0.22,5.10,0.0,
1784264307.040,KEEP_LANE,-0.270,0.22,4.30,0.0,
1784264307.115,KEEP_LANE,-0.270,0.22,4.30,0.0,
1784264307.182,KEEP_LANE,-0.149,0.22,4.32,0.0,
1784264307.248,KEEP_LANE,-0.361,0.22,4.32,0.0,
1784264307.315,KEEP_LANE,-0.270,0.22,5.04,0.0,
1784264307.382,KEEP_LANE,-0.390,0.22,4.26,0.0,
1784264307.448,KEEP_LANE,-0.300,0.22,4.26,0.0,
1784264307.514,KEEP_LANE,-0.359,0.22,4.27,0.0,
1784264307.579,KEEP_LANE,-0.315,0.22,4.27,0.0,
1784264307.643,KEEP_LANE,-0.253,0.22,5.91,0.0,
1784264307.711,KEEP_LANE,-0.300,0.22,5.91,0.0,
1784264307.775,KEEP_LANE,-0.239,0.22,4.93,0.0,
1784264307.841,KEEP_LANE,-0.285,0.22,4.93,0.0,
1784264307.910,KEEP_LANE,-0.227,0.22,5.96,0.0,
1784264307.973,KEEP_LANE,-0.208,0.22,5.96,0.0,
1784264308.037,KEEP_LANE,-0.255,0.22,5.63,0.0,
1784264308.106,KEEP_LANE,-0.197,0.22,5.63,0.0,
1784264308.171,KEEP_LANE,-0.179,0.22,4.15,0.0,
1784264308.235,KEEP_LANE,-0.101,0.22,4.15,0.0,
1784264308.303,KEEP_LANE,-0.076,0.22,4.14,0.0,
1784264308.370,KEEP_LANE,-0.523,0.22,4.14,0.0,
1784264308.434,KEEP_LANE,-1.000,0.22,5.75,0.0,
1784264308.500,KEEP_LANE,-1.000,0.22,5.75,0.0,
1784264308.572,KEEP_LANE,-1.000,0.22,4.26,0.0,
1784264308.636,KEEP_LANE,-1.000,0.22,4.53,0.0,
1784264308.705,KEEP_LANE,1.000,0.22,4.53,0.0,
1784264308.774,KEEP_LANE,0.807,0.22,2.39,0.0,
1784264308.841,KEEP_LANE,0.964,0.22,2.39,0.0,
1784264308.911,KEEP_LANE,-1.000,0.22,2.38,0.0,
1784264308.976,KEEP_LANE,-0.419,0.22,2.38,0.0,
1784264309.042,KEEP_LANE,-0.526,0.22,2.35,0.0,
1784264309.110,KEEP_LANE,-0.480,0.22,2.35,0.0,
1784264309.176,KEEP_LANE,1.000,0.22,2.31,0.0,
1784264309.241,KEEP_LANE,1.000,0.22,2.31,0.0,
1784264309.290,KEEP_LANE,0.000,0.00,0.00,0.0,LANE_LOST
1784264312.336,E_STOP,0.000,0.00,0.00,0.0,E_STOP
